wavelength / dx,AR,PE
2.0,3.2343054,-6.2831853
4.0,1.2079554,-2.2861156
6.0,1.0608724,-1.0901474
8.0,1.0257610,-0.6286379
10.0,1.0132341,-0.4070028
12.0,1.0076778,-0.2844241
14.0,1.0048436,-0.2097597
16.0,1.0032490,-0.1609939
18.0,1.0022840,-0.1274205
20.0,1.0016662,-0.1033357
22.0,1.0012526,-0.0854780
24.0,1.0009652,-0.0718742
26.0,1.0007594,-0.0612745
28.0,1.0006082,-0.0528558
30.0,1.0004946,-0.0460590
32.0,1.0004076,-0.0404928
34.0,1.0003399,-0.0358773
36.0,1.0002864,-0.0320078
38.0,1.0002435,-0.0287320
40.0,1.0002088,-0.0259342
42.0,1.0001804,-0.0235259
44.0,1.0001569,-0.0214380
46.0,1.0001373,-0.0196162
48.0,1.0001209,-0.0180170
50.0,1.0001070,-0.0166056
52.0,1.0000951,-0.0153538
54.0,1.0000849,-0.0142383
56.0,1.0000761,-0.0132401
58.0,1.0000685,-0.0123433
60.0,1.0000619,-0.0115346
62.0,1.0000561,-0.0108028
64.0,1.0000510,-0.0101385
66.0,1.0000465,-0.0095337
68.0,1.0000425,-0.0089814
70.0,1.0000390,-0.0084757
72.0,1.0000358,-0.0080115
74.0,1.0000330,-0.0075845
76.0,1.0000305,-0.0071907
78.0,1.0000282,-0.0068268
80.0,1.0000261,-0.0064898
82.0,1.0000243,-0.0061772
84.0,1.0000226,-0.0058867
86.0,1.0000210,-0.0056161
88.0,1.0000196,-0.0053638
90.0,1.0000183,-0.0051281
92.0,1.0000172,-0.0049076
94.0,1.0000161,-0.0047011
96.0,1.0000151,-0.0045073
98.0,1.0000142,-0.0043252
