location,analytical,central,upstream
0.00,1.00000,1.00044,0.99989
0.05,0.99998,1.02437,0.98830
0.10,0.99888,1.05720,0.94918
0.16,0.97867,0.95994,0.86561
0.21,0.84361,0.71987,0.73451
0.26,0.49925,0.44535,0.57234
0.31,0.15636,0.23154,0.40705
0.36,0.02195,0.10327,0.26397
0.42,0.00127,0.04025,0.15642
0.47,0.00003,0.01392,0.08501
0.52,0.00000,0.00433,0.04256
0.57,0.00000,0.00122,0.01972
0.62,0.00000,0.00032,0.00850
0.68,0.00000,0.00008,0.00342
0.73,0.00000,0.00002,0.00129
0.78,0.00000,0.00000,0.00046
0.83,0.00000,0.00000,0.00015
0.89,0.00000,0.00000,0.00005
0.94,0.00000,0.00000,0.00001
0.99,0.00000,0.00000,0.00000
1.04,0.00000,0.00000,0.00000
1.09,0.00000,0.00000,0.00000
1.15,0.00000,0.00000,0.00000
1.20,0.00000,0.00000,0.00000
1.25,0.00000,0.00000,0.00000
