wavelength / dx,AR,PE
2.0,3.1819079,-6.2831853
4.0,1.4711171,-2.2156312
6.0,1.3279654,-1.0478734
8.0,1.2527321,-0.6025654
10.0,1.2042507,-0.3896284
12.0,1.1707378,-0.2720980
14.0,1.1463739,-0.2005882
16.0,1.1279452,-0.1539146
18.0,1.1135572,-0.1217958
20.0,1.1020315,-0.0987616
22.0,1.0926016,-0.0816867
24.0,1.0847495,-0.0686815
26.0,1.0781132,-0.0585493
28.0,1.0724327,-0.0505029
30.0,1.0675169,-0.0440071
32.0,1.0632219,-0.0386877
34.0,1.0594378,-0.0342772
36.0,1.0560789,-0.0305797
38.0,1.0530778,-0.0274495
40.0,1.0503803,-0.0247763
42.0,1.0479427,-0.0224752
44.0,1.0457294,-0.0204804
46.0,1.0437108,-0.0187397
48.0,1.0418624,-0.0172118
50.0,1.0401636,-0.0158634
52.0,1.0385969,-0.0146675
54.0,1.0371477,-0.0136018
56.0,1.0358031,-0.0126481
58.0,1.0345522,-0.0117914
60.0,1.0333857,-0.0110188
62.0,1.0322952,-0.0103197
64.0,1.0312736,-0.0096851
66.0,1.0303146,-0.0091072
68.0,1.0294125,-0.0085796
70.0,1.0285625,-0.0080965
72.0,1.0277602,-0.0076531
74.0,1.0270017,-0.0072452
76.0,1.0262835,-0.0068690
78.0,1.0256024,-0.0065214
80.0,1.0249557,-0.0061995
82.0,1.0243409,-0.0059008
84.0,1.0237556,-0.0056232
86.0,1.0231978,-0.0053648
88.0,1.0226655,-0.0051238
90.0,1.0221571,-0.0048986
92.0,1.0216710,-0.0046880
94.0,1.0212057,-0.0044907
96.0,1.0207600,-0.0043056
98.0,1.0203326,-0.0041317
